Treatment,mean,median,sd,n,fold_change_vs_Ctl
Ctl,380.56200271428554,371.0775519999998,72.10624908666566,7,NA
EtOH,510.92176961403493,487.3156159649118,70.20693839705726,7,1.3425454090791602
