"","bacteria","timepoint",".y.","group1","group2","p","p.format","p.signif","method","p.adj","p.adj.signif","taxa_level"
"43","Tenericutes","D26","mean","EtOH Male","Ctl Female",0.0210274842466082,"0.02103","*","Wilcoxon",0.0262843553082602,"*","phylum"
"44","Tenericutes","D26","mean","EtOH Male","Ctl Male",0.0210274842466082,"0.02103","*","Wilcoxon",0.0262843553082602,"*","phylum"
"45","Tenericutes","D26","mean","EtOH Male","EtOH Female",0.529132463522389,"0.52913","ns","Wilcoxon",0.529132463522389,"ns","phylum"
"46","Tenericutes","D26","mean","Ctl Female","EtOH Female",0.0154987465224652,"0.01550","*","Wilcoxon",0.0262843553082602,"*","phylum"
"47","Tenericutes","D26","mean","Ctl Male","EtOH Female",0.0154987465224652,"0.01550","*","Wilcoxon",0.0262843553082602,"*","phylum"
"48","Verrucomicrobia","D26","mean","EtOH Male","Ctl Female",0.00155400155400155,"0.00155","**","Wilcoxon",0.00310800310800311,"**","phylum"
"49","Verrucomicrobia","D26","mean","EtOH Male","Ctl Male",0.00155400155400155,"0.00155","**","Wilcoxon",0.00310800310800311,"**","phylum"
"50","Verrucomicrobia","D26","mean","EtOH Male","EtOH Female",8.22706705059646e-05,"8.2e-05","****","Wilcoxon",0.000493624023035788,"***","phylum"
"51","Verrucomicrobia","D26","mean","Ctl Female","Ctl Male",0.0952380952380952,"0.09524","ns","Wilcoxon",0.114285714285714,"ns","phylum"
"52","Verrucomicrobia","D26","mean","Ctl Female","EtOH Female",0.028971028971029,"0.02897","*","Wilcoxon",0.0434565434565435,"*","phylum"
"53","Verrucomicrobia","D26","mean","Ctl Male","EtOH Female",0.699300699300699,"0.69930","ns","Wilcoxon",0.699300699300699,"ns","phylum"
