"","bacteria","timepoint",".y.","group1","group2","p","p.format","p.signif","method","p.adj","p.adj.signif","taxa_level"
"45","Alloprevotella","D26","mean","EtOH Male","EtOH Female",0.34577858615116,"0.34578","ns","Wilcoxon",0.69155717230232,"ns","genius"
"46","Alloprevotella","D26","mean","Ctl Female","Ctl Male",1,"1.00000","ns","Wilcoxon",1,"ns","genius"
"47","Alloprevotella","D26","mean","Ctl Female","EtOH Female",0.233037982273905,"0.23304","ns","Wilcoxon",0.69155717230232,"ns","genius"
"48","Alloprevotella","D26","mean","Ctl Male","EtOH Female",0.233037982273905,"0.23304","ns","Wilcoxon",0.69155717230232,"ns","genius"
"49","Anaerotruncus","D26","mean","EtOH Male","Ctl Female",0.0932400932400932,"0.09324","ns","Wilcoxon",0.186480186480186,"ns","genius"
"50","Anaerotruncus","D26","mean","EtOH Male","Ctl Male",0.0186480186480186,"0.01865","*","Wilcoxon",0.0559440559440559,"ns","genius"
"51","Anaerotruncus","D26","mean","EtOH Male","EtOH Female",0.000575894693541752,"0.00058","***","Wilcoxon",0.00345536816125051,"**","genius"
"52","Anaerotruncus","D26","mean","Ctl Female","Ctl Male",1,"1.00000","ns","Wilcoxon",1,"ns","genius"
"53","Anaerotruncus","D26","mean","Ctl Female","EtOH Female",0.297702297702298,"0.29770","ns","Wilcoxon",0.357242757242757,"ns","genius"
"54","Anaerotruncus","D26","mean","Ctl Male","EtOH Female",0.23976023976024,"0.23976","ns","Wilcoxon",0.357242757242757,"ns","genius"
"55","Atlantibacter","D26","mean","EtOH Male","Ctl Female",0.170940170940171,"0.17094","ns","Wilcoxon",0.205128205128205,"ns","genius"
"56","Atlantibacter","D26","mean","EtOH Male","Ctl Male",0.0450660450660451,"0.04507","*","Wilcoxon",0.0901320901320901,"ns","genius"
"57","Atlantibacter","D26","mean","EtOH Male","EtOH Female",0.00139047857128551,"0.00139","**","Wilcoxon",0.00834287142771304,"**","genius"
