"","bacteria","timepoint",".y.","group1","group2","p","p.format","p.signif","method","p.adj","p.adj.signif","taxa_level"
"187","Eubacteriales_Family_XIII_Incertae_Sedis_unclassified","D26","mean","Ctl Female","EtOH Female",0.0622268952200788,"0.06223","ns","Wilcoxon",0.268217194517038,"ns","genius"
"188","Eubacteriales_Family_XIII_Incertae_Sedis_unclassified","D26","mean","Ctl Male","EtOH Female",0.18387320155222,"0.18387","ns","Wilcoxon",0.36774640310444,"ns","genius"
"189","Eubacteriales_unclassified","D26","mean","EtOH Male","Ctl Female",0.00155400155400155,"0.00155","**","Wilcoxon",0.00310800310800311,"**","genius"
"190","Eubacteriales_unclassified","D26","mean","EtOH Male","Ctl Male",0.00155400155400155,"0.00155","**","Wilcoxon",0.00310800310800311,"**","genius"
"191","Eubacteriales_unclassified","D26","mean","EtOH Male","EtOH Female",0.000630636059809067,"0.00063","***","Wilcoxon",0.00310800310800311,"**","genius"
"192","Eubacteriales_unclassified","D26","mean","Ctl Female","Ctl Male",0.0555555555555556,"0.05556","ns","Wilcoxon",0.0555555555555556,"ns","genius"
"193","Eubacteriales_unclassified","D26","mean","Ctl Female","EtOH Female",0.00331872366133435,"0.00332","**","Wilcoxon",0.00398246839360123,"**","genius"
"194","Eubacteriales_unclassified","D26","mean","Ctl Male","EtOH Female",0.00331872366133435,"0.00332","**","Wilcoxon",0.00398246839360123,"**","genius"
"195","Firmicutes_unclassified","D26","mean","EtOH Male","Ctl Female",0.00155400155400155,"0.00155","**","Wilcoxon",0.00233100233100233,"**","genius"
"196","Firmicutes_unclassified","D26","mean","EtOH Male","Ctl Male",0.170940170940171,"0.17094","ns","Wilcoxon",0.205128205128205,"ns","genius"
"197","Firmicutes_unclassified","D26","mean","EtOH Male","EtOH Female",8.22706705059646e-05,"8.2e-05","****","Wilcoxon",0.000493624023035788,"***","genius"
"198","Firmicutes_unclassified","D26","mean","Ctl Female","Ctl Male",1,"1.00000","ns","Wilcoxon",1,"ns","genius"
"199","Firmicutes_unclassified","D26","mean","Ctl Female","EtOH Female",0.000999000999000999,"0.00100","***","Wilcoxon",0.001998001998002,"**","genius"
"200","Firmicutes_unclassified","D26","mean","Ctl Male","EtOH Female",0.000999000999000999,"0.00100","***","Wilcoxon",0.001998001998002,"**","genius"
"201","Fusobacterium","D26","mean","EtOH Male","Ctl Female",0.210648421249306,"0.21065","ns","Wilcoxon",0.631945263747918,"ns","genius"
"202","Fusobacterium","D26","mean","EtOH Male","Ctl Male",0.473918625756028,"0.47392","ns","Wilcoxon",0.710877938634043,"ns","genius"
"203","Fusobacterium","D26","mean","EtOH Male","EtOH Female",0.959486386565679,"0.95949","ns","Wilcoxon",0.959486386565679,"ns","genius"
"204","Fusobacterium","D26","mean","Ctl Female","Ctl Male",0.607235543774111,"0.60724","ns","Wilcoxon",0.728682652528933,"ns","genius"
"205","Fusobacterium","D26","mean","Ctl Female","EtOH Female",0.139787801566035,"0.13979","ns","Wilcoxon",0.631945263747918,"ns","genius"
"206","Fusobacterium","D26","mean","Ctl Male","EtOH Female",0.318919544570121,"0.31892","ns","Wilcoxon",0.637839089140242,"ns","genius"
"207","GGB1144","D26","mean","EtOH Male","Ctl Female",0.0894057315056793,"0.08941","ns","Wilcoxon",0.268217194517038,"ns","genius"
"208","GGB1144","D26","mean","EtOH Male","Ctl Male",0.277974874223793,"0.27797","ns","Wilcoxon",0.41696231133569,"ns","genius"
"209","GGB1144","D26","mean","EtOH Male","EtOH Female",0.959486386565679,"0.95949","ns","Wilcoxon",0.959486386565679,"ns","genius"
"210","GGB1144","D26","mean","Ctl Female","Ctl Male",0.423710797166793,"0.42371","ns","Wilcoxon",0.508452956600152,"ns","genius"
"211","GGB1144","D26","mean","Ctl Female","EtOH Female",0.0622268952200788,"0.06223","ns","Wilcoxon",0.268217194517038,"ns","genius"
"212","GGB1144","D26","mean","Ctl Male","EtOH Female",0.237497325396151,"0.23750","ns","Wilcoxon",0.41696231133569,"ns","genius"
"213","GGB14001","D26","mean","EtOH Male","Ctl Female",0.0932400932400932,"0.09324","ns","Wilcoxon",0.186480186480186,"ns","genius"
"214","GGB14001","D26","mean","EtOH Male","Ctl Male",0.00310800310800311,"0.00311","**","Wilcoxon",0.00932400932400932,"**","genius"
"215","GGB14001","D26","mean","EtOH Male","EtOH Female",8.22706705059646e-05,"8.2e-05","****","Wilcoxon",0.000493624023035788,"***","genius"
"216","GGB14001","D26","mean","Ctl Female","Ctl Male",0.222222222222222,"0.22222","ns","Wilcoxon",0.333333333333333,"ns","genius"
"217","GGB14001","D26","mean","Ctl Female","EtOH Female",0.606393606393606,"0.60639","ns","Wilcoxon",0.606393606393606,"ns","genius"
"218","GGB14001","D26","mean","Ctl Male","EtOH Female",0.363636363636364,"0.36364","ns","Wilcoxon",0.436363636363636,"ns","genius"
"219","GGB14013","D26","mean","EtOH Male","Ctl Female",0.00155400155400155,"0.00155","**","Wilcoxon",0.00186480186480186,"**","genius"
"220","GGB14013","D26","mean","EtOH Male","Ctl Male",0.00155400155400155,"0.00155","**","Wilcoxon",0.00186480186480186,"**","genius"
"221","GGB14013","D26","mean","EtOH Male","EtOH Female",0.000329082682023858,"0.00033","***","Wilcoxon",0.00186480186480186,"**","genius"
"222","GGB14013","D26","mean","Ctl Female","Ctl Male",0.00793650793650794,"0.00794","**","Wilcoxon",0.00793650793650794,"**","genius"
"223","GGB14013","D26","mean","Ctl Female","EtOH Female",0.000999000999000999,"0.00100","***","Wilcoxon",0.00186480186480186,"**","genius"
"224","GGB14013","D26","mean","Ctl Male","EtOH Female",0.000999000999000999,"0.00100","***","Wilcoxon",0.00186480186480186,"**","genius"
"225","GGB1503","D26","mean","EtOH Male","Ctl Female",0.00155400155400155,"0.00155","**","Wilcoxon",0.002997002997003,"**","genius"
"226","GGB1503","D26","mean","EtOH Male","Ctl Male",0.0186480186480186,"0.01865","*","Wilcoxon",0.0186480186480186,"*","genius"
"227","GGB1503","D26","mean","EtOH Male","EtOH Female",8.22706705059646e-05,"8.2e-05","****","Wilcoxon",0.000493624023035788,"***","genius"
"228","GGB1503","D26","mean","Ctl Female","Ctl Male",0.00793650793650794,"0.00794","**","Wilcoxon",0.00952380952380952,"**","genius"
"229","GGB1503","D26","mean","Ctl Female","EtOH Female",0.000999000999000999,"0.00100","***","Wilcoxon",0.002997002997003,"**","genius"
"230","GGB1503","D26","mean","Ctl Male","EtOH Female",0.001998001998002,"0.00200","**","Wilcoxon",0.002997002997003,"**","genius"
"231","GGB20149","D26","mean","EtOH Male","Ctl Female",0.0894057315056793,"0.08941","ns","Wilcoxon",0.0894057315056793,"ns","genius"
"232","GGB20149","D26","mean","EtOH Male","Ctl Male",0.0894057315056793,"0.08941","ns","Wilcoxon",0.0894057315056793,"ns","genius"
"233","GGB20149","D26","mean","EtOH Male","EtOH Female",0.0236622064653201,"0.02366","*","Wilcoxon",0.0709866193959603,"ns","genius"
"234","GGB22635","D26","mean","EtOH Male","Ctl Female",0.00621600621600622,"0.00622","**","Wilcoxon",0.0186480186480186,"*","genius"
"235","GGB22635","D26","mean","EtOH Male","Ctl Male",0.0295260295260295,"0.02953","*","Wilcoxon",0.0590520590520591,"ns","genius"
"236","GGB22635","D26","mean","EtOH Male","EtOH Female",0.00171849870809479,"0.00172","**","Wilcoxon",0.0103109922485687,"*","genius"
"237","GGB22635","D26","mean","Ctl Female","Ctl Male",0.753298033462838,"0.75330","ns","Wilcoxon",0.946254059614265,"ns","genius"
"238","GGB22635","D26","mean","Ctl Female","EtOH Female",0.946254059614265,"0.94625","ns","Wilcoxon",0.946254059614265,"ns","genius"
"239","GGB22635","D26","mean","Ctl Male","EtOH Female",0.946254059614265,"0.94625","ns","Wilcoxon",0.946254059614265,"ns","genius"
"240","GGB24132","D26","mean","EtOH Male","Ctl Female",0.0932400932400932,"0.09324","ns","Wilcoxon",0.111888111888112,"ns","genius"
"241","GGB24132","D26","mean","EtOH Male","Ctl Male",0.00155400155400155,"0.00155","**","Wilcoxon",0.003996003996004,"**","genius"
"242","GGB24132","D26","mean","EtOH Male","EtOH Female",8.22706705059646e-05,"8.2e-05","****","Wilcoxon",0.000493624023035788,"***","genius"
"243","GGB24132","D26","mean","Ctl Female","Ctl Male",1,"1.00000","ns","Wilcoxon",1,"ns","genius"
"244","GGB24132","D26","mean","Ctl Female","EtOH Female",0.003996003996004,"0.00400","**","Wilcoxon",0.00599400599400599,"**","genius"
"245","GGB24132","D26","mean","Ctl Male","EtOH Female",0.001998001998002,"0.00200","**","Wilcoxon",0.003996003996004,"**","genius"
"246","GGB24146","D26","mean","EtOH Male","Ctl Female",0.210648421249306,"0.21065","ns","Wilcoxon",0.421296842498612,"ns","genius"
"247","GGB24146","D26","mean","EtOH Male","Ctl Male",0.0894057315056793,"0.08941","ns","Wilcoxon",0.385532261082552,"ns","genius"
"248","GGB24146","D26","mean","EtOH Male","EtOH Female",0.128510753694184,"0.12851","ns","Wilcoxon",0.385532261082552,"ns","genius"
"249","GGB24146","D26","mean","Ctl Female","Ctl Male",0.423710797166793,"0.42371","ns","Wilcoxon",0.508452956600152,"ns","genius"
"250","GGB24146","D26","mean","Ctl Female","EtOH Female",1,"1.00000","ns","Wilcoxon",1,"ns","genius"
"251","GGB24146","D26","mean","Ctl Male","EtOH Female",0.324872097767525,"0.32487","ns","Wilcoxon",0.487308146651288,"ns","genius"
"252","GGB24148","D26","mean","EtOH Male","Ctl Female",0.284382284382284,"0.28438","ns","Wilcoxon",0.426573426573427,"ns","genius"
"253","GGB24148","D26","mean","EtOH Male","Ctl Male",0.435120435120435,"0.43512","ns","Wilcoxon",0.522144522144522,"ns","genius"
"254","GGB24148","D26","mean","EtOH Male","EtOH Female",8.22706705059646e-05,"8.2e-05","****","Wilcoxon",0.000493624023035788,"***","genius"
"255","GGB24148","D26","mean","Ctl Female","Ctl Male",0.547619047619048,"0.54762","ns","Wilcoxon",0.547619047619048,"ns","genius"
"256","GGB24148","D26","mean","Ctl Female","EtOH Female",0.000999000999000999,"0.00100","***","Wilcoxon",0.001998001998002,"**","genius"
"257","GGB24148","D26","mean","Ctl Male","EtOH Female",0.000999000999000999,"0.00100","***","Wilcoxon",0.001998001998002,"**","genius"
"258","GGB27851","D26","mean","EtOH Male","Ctl Female",0.354312354312354,"0.35431","ns","Wilcoxon",0.354312354312354,"ns","genius"
"259","GGB27851","D26","mean","EtOH Male","Ctl Male",0.00155400155400155,"0.00155","**","Wilcoxon",0.00233100233100233,"**","genius"
"260","GGB27851","D26","mean","EtOH Male","EtOH Female",8.22706705059646e-05,"8.2e-05","****","Wilcoxon",0.000493624023035788,"***","genius"
"261","GGB27851","D26","mean","Ctl Female","Ctl Male",0.00793650793650794,"0.00794","**","Wilcoxon",0.00952380952380952,"**","genius"
"262","GGB27851","D26","mean","Ctl Female","EtOH Female",0.000999000999000999,"0.00100","***","Wilcoxon",0.001998001998002,"**","genius"
"263","GGB27851","D26","mean","Ctl Male","EtOH Female",0.000999000999000999,"0.00100","***","Wilcoxon",0.001998001998002,"**","genius"
"264","GGB27866","D26","mean","EtOH Male","Ctl Female",0.0108780108780109,"0.01088","*","Wilcoxon",0.0130536130536131,"*","genius"
"265","GGB27866","D26","mean","EtOH Male","Ctl Male",0.0450660450660451,"0.04507","*","Wilcoxon",0.0450660450660451,"*","genius"
"266","GGB27866","D26","mean","EtOH Male","EtOH Female",8.22706705059646e-05,"8.2e-05","****","Wilcoxon",0.000493624023035788,"***","genius"
"267","GGB27866","D26","mean","Ctl Female","Ctl Male",0.00793650793650794,"0.00794","**","Wilcoxon",0.0119047619047619,"*","genius"
"268","GGB27866","D26","mean","Ctl Female","EtOH Female",0.000999000999000999,"0.00100","***","Wilcoxon",0.001998001998002,"**","genius"
"269","GGB27866","D26","mean","Ctl Male","EtOH Female",0.000999000999000999,"0.00100","***","Wilcoxon",0.001998001998002,"**","genius"
"270","GGB27876","D26","mean","EtOH Male","Ctl Female",0.00621600621600622,"0.00622","**","Wilcoxon",0.0124320124320124,"*","genius"
"271","GGB27876","D26","mean","EtOH Male","Ctl Male",0.435120435120435,"0.43512","ns","Wilcoxon",0.522144522144522,"ns","genius"
"272","GGB27876","D26","mean","EtOH Male","EtOH Female",0.000164541341011929,"0.00016","***","Wilcoxon",0.000987248046071575,"***","genius"
"273","GGB27876","D26","mean","Ctl Female","Ctl Male",0.0158730158730159,"0.01587","*","Wilcoxon",0.0238095238095238,"*","genius"
"274","GGB27876","D26","mean","Ctl Female","EtOH Female",0.898101898101898,"0.89810","ns","Wilcoxon",0.898101898101898,"ns","genius"
"275","GGB27876","D26","mean","Ctl Male","EtOH Female",0.001998001998002,"0.00200","**","Wilcoxon",0.00599400599400599,"**","genius"
"276","GGB27879","D26","mean","EtOH Male","Ctl Female",0.452610129477836,"0.45261","ns","Wilcoxon",0.452610129477836,"ns","genius"
"277","GGB27879","D26","mean","EtOH Male","Ctl Male",0.0894057315056793,"0.08941","ns","Wilcoxon",0.223514328764198,"ns","genius"
"278","GGB27879","D26","mean","EtOH Male","EtOH Female",0.0236622064653201,"0.02366","*","Wilcoxon",0.1183110323266,"ns","genius"
"279","GGB27879","D26","mean","Ctl Female","Ctl Male",0.423710797166793,"0.42371","ns","Wilcoxon",0.452610129477836,"ns","genius"
"280","GGB27879","D26","mean","Ctl Female","EtOH Female",0.233037982273905,"0.23304","ns","Wilcoxon",0.388396637123176,"ns","genius"
"281","GGB27918","D26","mean","EtOH Male","Ctl Female",0.832944832944833,"0.83294","ns","Wilcoxon",0.832944832944833,"ns","genius"
"282","GGB27918","D26","mean","EtOH Male","Ctl Male",0.00155400155400155,"0.00155","**","Wilcoxon",0.00310800310800311,"**","genius"
"283","GGB27918","D26","mean","EtOH Male","EtOH Female",0.0078979843685726,"0.00790","**","Wilcoxon",0.00952380952380952,"**","genius"
"284","GGB27918","D26","mean","Ctl Female","Ctl Male",0.00793650793650794,"0.00794","**","Wilcoxon",0.00952380952380952,"**","genius"
"285","GGB27918","D26","mean","Ctl Female","EtOH Female",0.000999000999000999,"0.00100","***","Wilcoxon",0.002997002997003,"**","genius"
"286","GGB27918","D26","mean","Ctl Male","EtOH Female",0.000999000999000999,"0.00100","***","Wilcoxon",0.002997002997003,"**","genius"
"287","GGB27929","D26","mean","EtOH Male","Ctl Female",0.127428127428127,"0.12743","ns","Wilcoxon",0.254856254856255,"ns","genius"
"288","GGB27929","D26","mean","EtOH Male","Ctl Male",0.0652680652680653,"0.06527","ns","Wilcoxon",0.195804195804196,"ns","genius"
"289","GGB27929","D26","mean","EtOH Male","EtOH Female",0.0359522830111065,"0.03595","*","Wilcoxon",0.195804195804196,"ns","genius"
"290","GGB27929","D26","mean","Ctl Female","Ctl Male",0.420634920634921,"0.42063","ns","Wilcoxon",0.518481518481518,"ns","genius"
"291","GGB27929","D26","mean","Ctl Female","EtOH Female",0.518481518481518,"0.51848","ns","Wilcoxon",0.518481518481518,"ns","genius"
"292","GGB27929","D26","mean","Ctl Male","EtOH Female",0.518481518481518,"0.51848","ns","Wilcoxon",0.518481518481518,"ns","genius"
"293","GGB28310","D26","mean","EtOH Male","Ctl Female",0.00155400155400155,"0.00155","**","Wilcoxon",0.00186480186480186,"**","genius"
"294","GGB28310","D26","mean","EtOH Male","Ctl Male",0.00155400155400155,"0.00155","**","Wilcoxon",0.00186480186480186,"**","genius"
"295","GGB28310","D26","mean","EtOH Male","EtOH Female",8.22706705059646e-05,"8.2e-05","****","Wilcoxon",0.000493624023035788,"***","genius"
"296","GGB28310","D26","mean","Ctl Female","Ctl Male",0.00793650793650794,"0.00794","**","Wilcoxon",0.00793650793650794,"**","genius"
"297","GGB28310","D26","mean","Ctl Female","EtOH Female",0.000999000999000999,"0.00100","***","Wilcoxon",0.00186480186480186,"**","genius"
"298","GGB28310","D26","mean","Ctl Male","EtOH Female",0.000999000999000999,"0.00100","***","Wilcoxon",0.00186480186480186,"**","genius"
"299","GGB28394","D26","mean","EtOH Male","Ctl Female",0.0894057315056793,"0.08941","ns","Wilcoxon",0.134108597258519,"ns","genius"
"300","GGB28394","D26","mean","EtOH Male","Ctl Male",0.277974874223793,"0.27797","ns","Wilcoxon",0.333569849068552,"ns","genius"
"301","GGB28394","D26","mean","EtOH Male","EtOH Female",0.00737925524021867,"0.00738","**","Wilcoxon",0.0191441458481043,"*","genius"
"302","GGB28394","D26","mean","Ctl Female","Ctl Male",0.423710797166793,"0.42371","ns","Wilcoxon",0.423710797166793,"ns","genius"
"303","GGB28394","D26","mean","Ctl Female","EtOH Female",0.00680650538223852,"0.00681","**","Wilcoxon",0.0191441458481043,"*","genius"
"304","GGB28394","D26","mean","Ctl Male","EtOH Female",0.00957207292405216,"0.00957","**","Wilcoxon",0.0191441458481043,"*","genius"
"305","GGB28409","D26","mean","EtOH Male","Ctl Female",0.0451928431169226,"0.04519","*","Wilcoxon",0.0903856862338452,"ns","genius"
"306","GGB28409","D26","mean","EtOH Male","Ctl Male",0.498018224932283,"0.49802","ns","Wilcoxon",0.498018224932283,"ns","genius"
"307","GGB28409","D26","mean","EtOH Male","EtOH Female",0.161904303022881,"0.16190","ns","Wilcoxon",0.194285163627457,"ns","genius"
"308","GGB28409","D26","mean","Ctl Female","Ctl Male",0.072005657555498,"0.07201","ns","Wilcoxon",0.108008486333247,"ns","genius"
"309","GGB28409","D26","mean","Ctl Female","EtOH Female",0.00269972059649948,"0.00270","**","Wilcoxon",0.0161983235789969,"*","genius"
"310","GGB28409","D26","mean","Ctl Male","EtOH Female",0.032705381127031,"0.03271","*","Wilcoxon",0.0903856862338452,"ns","genius"
"311","GGB28436","D26","mean","EtOH Male","Ctl Female",0.0210274842466082,"0.02103","*","Wilcoxon",0.0262843553082602,"*","genius"
"312","GGB28436","D26","mean","EtOH Male","Ctl Male",0.0210274842466082,"0.02103","*","Wilcoxon",0.0262843553082602,"*","genius"
"313","GGB28436","D26","mean","EtOH Male","EtOH Female",0.160351027944839,"0.16035","ns","Wilcoxon",0.160351027944839,"ns","genius"
"314","GGB28436","D26","mean","Ctl Female","EtOH Female",0.0154987465224652,"0.01550","*","Wilcoxon",0.0262843553082602,"*","genius"
"315","GGB28436","D26","mean","Ctl Male","EtOH Female",0.0154987465224652,"0.01550","*","Wilcoxon",0.0262843553082602,"*","genius"
"316","GGB28632","D26","mean","EtOH Male","Ctl Female",0.0186480186480186,"0.01865","*","Wilcoxon",0.111888111888112,"ns","genius"
"317","GGB28632","D26","mean","EtOH Male","Ctl Male",0.170940170940171,"0.17094","ns","Wilcoxon",0.256410256410256,"ns","genius"
"318","GGB28632","D26","mean","EtOH Male","EtOH Female",0.046400658165364,"0.04640","*","Wilcoxon",0.139201974496092,"ns","genius"
"319","GGB28632","D26","mean","Ctl Female","Ctl Male",0.420634920634921,"0.42063","ns","Wilcoxon",0.504761904761905,"ns","genius"
"320","GGB28632","D26","mean","Ctl Female","EtOH Female",0.0829170829170829,"0.08292","ns","Wilcoxon",0.165834165834166,"ns","genius"
"321","GGB28632","D26","mean","Ctl Male","EtOH Female",0.898101898101898,"0.89810","ns","Wilcoxon",0.898101898101898,"ns","genius"
"322","GGB28778","D26","mean","EtOH Male","Ctl Female",0.00938590720905565,"0.00939","**","Wilcoxon",0.0187718144181113,"*","genius"
"323","GGB28778","D26","mean","EtOH Male","Ctl Male",0.119090830191713,"0.11909","ns","Wilcoxon",0.17863624528757,"ns","genius"
"324","GGB28778","D26","mean","EtOH Male","EtOH Female",0.958452753845941,"0.95845","ns","Wilcoxon",0.958452753845941,"ns","genius"
"325","GGB28778","D26","mean","Ctl Female","Ctl Male",0.00793650793650794,"0.00794","**","Wilcoxon",0.0187718144181113,"*","genius"
"326","GGB28778","D26","mean","Ctl Female","EtOH Female",0.00269972059649948,"0.00270","**","Wilcoxon",0.0161983235789969,"*","genius"
"327","GGB28778","D26","mean","Ctl Male","EtOH Female",0.172680822776009,"0.17268","ns","Wilcoxon",0.207216987331211,"ns","genius"
"328","GGB28782","D26","mean","EtOH Male","Ctl Female",0.766489703676823,"0.76649","ns","Wilcoxon",0.766489703676823,"ns","genius"
"329","GGB28782","D26","mean","EtOH Male","Ctl Male",0.294952935439746,"0.29495","ns","Wilcoxon",0.49158822573291,"ns","genius"
"330","GGB28782","D26","mean","EtOH Male","EtOH Female",0.144216824356787,"0.14422","ns","Wilcoxon",0.49158822573291,"ns","genius"
"331","GGB28782","D26","mean","Ctl Female","Ctl Male",0.423710797166793,"0.42371","ns","Wilcoxon",0.529638496458492,"ns","genius"
"332","GGB28782","D26","mean","Ctl Female","EtOH Female",0.233037982273905,"0.23304","ns","Wilcoxon",0.49158822573291,"ns","genius"
"333","GGB28784","D26","mean","EtOH Male","Ctl Female",0.527089256865538,"0.52709","ns","Wilcoxon",0.527089256865538,"ns","genius"
"334","GGB28784","D26","mean","EtOH Male","Ctl Male",0.527089256865538,"0.52709","ns","Wilcoxon",0.527089256865538,"ns","genius"
"335","GGB28784","D26","mean","EtOH Male","EtOH Female",0.34577858615116,"0.34578","ns","Wilcoxon",0.527089256865538,"ns","genius"
"336","GGB28787","D26","mean","EtOH Male","Ctl Female",0.706581873160426,"0.70658","ns","Wilcoxon",0.706581873160426,"ns","genius"
"337","GGB28787","D26","mean","EtOH Male","Ctl Male",0.0894057315056793,"0.08941","ns","Wilcoxon",0.111757164382099,"ns","genius"
"338","GGB28787","D26","mean","EtOH Male","EtOH Female",0.0236622064653201,"0.02366","*","Wilcoxon",0.0422830997034228,"*","genius"
"339","GGB28787","D26","mean","Ctl Female","Ctl Male",0.0253698598220537,"0.02537","*","Wilcoxon",0.0422830997034228,"*","genius"
"340","GGB28787","D26","mean","Ctl Female","EtOH Female",0.0034701634287663,"0.00347","**","Wilcoxon",0.0173508171438315,"*","genius"
"341","GGB28792","D26","mean","EtOH Male","Ctl Female",0.523698523698524,"0.52370","ns","Wilcoxon",0.628438228438228,"ns","genius"
"342","GGB28792","D26","mean","EtOH Male","Ctl Male",0.354312354312354,"0.35431","ns","Wilcoxon",0.531468531468531,"ns","genius"
"343","GGB28792","D26","mean","EtOH Male","EtOH Female",0.000818978640200808,"0.00082","***","Wilcoxon",0.00452965602480539,"**","genius"
"344","GGB28792","D26","mean","Ctl Female","Ctl Male",0.69047619047619,"0.69048","ns","Wilcoxon",0.69047619047619,"ns","genius"
"345","GGB28792","D26","mean","Ctl Female","EtOH Female",0.0022648280124027,"0.00226","**","Wilcoxon",0.00452965602480539,"**","genius"
"346","GGB28792","D26","mean","Ctl Male","EtOH Female",0.0022648280124027,"0.00226","**","Wilcoxon",0.00452965602480539,"**","genius"
"347","GGB28798","D26","mean","EtOH Male","Ctl Female",0.452610129477836,"0.45261","ns","Wilcoxon",0.543132155373403,"ns","genius"
"348","GGB28798","D26","mean","EtOH Male","Ctl Male",0.0894057315056793,"0.08941","ns","Wilcoxon",0.385532261082552,"ns","genius"
"349","GGB28798","D26","mean","EtOH Male","EtOH Female",0.128510753694184,"0.12851","ns","Wilcoxon",0.385532261082552,"ns","genius"
"350","GGB28798","D26","mean","Ctl Female","Ctl Male",0.423710797166793,"0.42371","ns","Wilcoxon",0.543132155373403,"ns","genius"
"351","GGB28798","D26","mean","Ctl Female","EtOH Female",1,"1.00000","ns","Wilcoxon",1,"ns","genius"
"352","GGB28798","D26","mean","Ctl Male","EtOH Female",0.324872097767525,"0.32487","ns","Wilcoxon",0.543132155373403,"ns","genius"
"353","GGB28803","D26","mean","EtOH Male","EtOH Female",0.096170539360084,"0.09617","ns","Wilcoxon",0.194047208716884,"ns","genius"
"354","GGB28803","D26","mean","Ctl Female","EtOH Female",0.194047208716884,"0.19405","ns","Wilcoxon",0.194047208716884,"ns","genius"
"355","GGB28803","D26","mean","Ctl Male","EtOH Female",0.194047208716884,"0.19405","ns","Wilcoxon",0.194047208716884,"ns","genius"
"356","GGB28810","D26","mean","EtOH Male","Ctl Male",0.00113536366616437,"0.00114","**","Wilcoxon",0.00559374608712592,"**","genius"
"357","GGB28810","D26","mean","EtOH Male","EtOH Female",0.0957097511690147,"0.09571","ns","Wilcoxon",0.119637188961268,"ns","genius"
"358","GGB28810","D26","mean","Ctl Female","Ctl Male",0.00749495751693525,"0.00749","**","Wilcoxon",0.0124915958615587,"*","genius"
"359","GGB28810","D26","mean","Ctl Female","EtOH Female",0.193097232577924,"0.19310","ns","Wilcoxon",0.193097232577924,"ns","genius"
"360","GGB28810","D26","mean","Ctl Male","EtOH Female",0.00223749843485037,"0.00224","**","Wilcoxon",0.00559374608712592,"**","genius"
"361","GGB28818","D26","mean","EtOH Male","Ctl Female",0.0295260295260295,"0.02953","*","Wilcoxon",0.0442890442890443,"*","genius"
"362","GGB28818","D26","mean","EtOH Male","Ctl Male",0.523698523698524,"0.52370","ns","Wilcoxon",0.523698523698524,"ns","genius"
"363","GGB28818","D26","mean","EtOH Male","EtOH Female",0.0140789169279728,"0.01408","*","Wilcoxon",0.0281578338559456,"*","genius"
"364","GGB28818","D26","mean","Ctl Female","Ctl Male",0.0952380952380952,"0.09524","ns","Wilcoxon",0.114285714285714,"ns","genius"
"365","GGB28818","D26","mean","Ctl Female","EtOH Female",0.00331872366133435,"0.00332","**","Wilcoxon",0.00995617098400307,"**","genius"
"366","GGB28818","D26","mean","Ctl Male","EtOH Female",0.00331872366133435,"0.00332","**","Wilcoxon",0.00995617098400307,"**","genius"
"367","GGB28821","D26","mean","EtOH Male","Ctl Female",0.00155400155400155,"0.00155","**","Wilcoxon",0.00310800310800311,"**","genius"
"368","GGB28821","D26","mean","EtOH Male","Ctl Male",0.00621600621600622,"0.00622","**","Wilcoxon",0.00932400932400932,"**","genius"
"369","GGB28821","D26","mean","EtOH Male","EtOH Female",8.22706705059646e-05,"8.2e-05","****","Wilcoxon",0.000493624023035788,"***","genius"
"370","GGB28821","D26","mean","Ctl Female","Ctl Male",0.69047619047619,"0.69048","ns","Wilcoxon",0.69047619047619,"ns","genius"
"371","GGB28821","D26","mean","Ctl Female","EtOH Female",0.000999000999000999,"0.00100","***","Wilcoxon",0.002997002997003,"**","genius"
"372","GGB28821","D26","mean","Ctl Male","EtOH Female",0.606393606393606,"0.60639","ns","Wilcoxon",0.69047619047619,"ns","genius"
"373","GGB28836","D26","mean","EtOH Male","Ctl Female",0.0932400932400932,"0.09324","ns","Wilcoxon",0.111888111888112,"ns","genius"
"374","GGB28836","D26","mean","EtOH Male","Ctl Male",0.0652680652680653,"0.06527","ns","Wilcoxon",0.111888111888112,"ns","genius"
"375","GGB28836","D26","mean","EtOH Male","EtOH Female",0.0206499382969971,"0.02065","*","Wilcoxon",0.0619498148909914,"ns","genius"
"376","GGB28836","D26","mean","Ctl Female","Ctl Male",0.150793650793651,"0.15079","ns","Wilcoxon",0.150793650793651,"ns","genius"
"377","GGB28836","D26","mean","Ctl Female","EtOH Female",0.0829170829170829,"0.08292","ns","Wilcoxon",0.111888111888112,"ns","genius"
"378","GGB28836","D26","mean","Ctl Male","EtOH Female",0.000999000999000999,"0.00100","***","Wilcoxon",0.00599400599400599,"**","genius"
"379","GGB28851","D26","mean","EtOH Male","Ctl Female",0.0122947745564051,"0.01229","*","Wilcoxon",0.0245895491128103,"*","genius"
"380","GGB28851","D26","mean","EtOH Male","Ctl Male",0.00191455066306495,"0.00191","**","Wilcoxon",0.0114873039783897,"*","genius"
"381","GGB28851","D26","mean","EtOH Male","EtOH Female",0.12062212176091,"0.12062","ns","Wilcoxon",0.144746546113091,"ns","genius"
"382","GGB28851","D26","mean","Ctl Female","Ctl Male",0.150793650793651,"0.15079","ns","Wilcoxon",0.150793650793651,"ns","genius"
"383","GGB28851","D26","mean","Ctl Female","EtOH Female",0.0314718693480774,"0.03147","*","Wilcoxon",0.0472078040221161,"*","genius"
